jdesc-topic-0,jdesc-topic-1,jdesc-topic-2,jdesc-topic-3,jdesc-topic-4,jdesc-topic-5,jdesc-topic-6,jdesc-topic-7,jdesc-topic-8,jdesc-topic-9,jdesc-topic-10,jdesc-topic-11,jdesc-topic-12,jdesc-topic-13,jdesc-topic-14,jdesc-topic-15,jdesc-topic-16,jdesc-topic-17,jdesc-topic-18,jdesc-topic-19,jdesc-topic-20,jdesc-topic-21,jdesc-topic-22,jdesc-topic-23,jdesc-topic-24,jdesc-topic-25,jdesc-topic-26,jdesc-topic-27,jdesc-topic-28,jdesc-topic-29,jdesc-topic-30,jdesc-topic-31,jdesc-topic-32,jdesc-topic-33,jdesc-topic-34,jdesc-topic-35,jdesc-topic-36,jdesc-topic-37,jdesc-topic-38,jdesc-topic-39,jtitle-topic-0,jtitle-topic-1,jtitle-topic-2,jtitle-topic-3,jtitle-topic-4,jtitle-topic-5,jtitle-topic-6,jtitle-topic-7,jtitle-topic-8,jtitle-topic-9,jtitle-topic-10,jtitle-topic-11,jtitle-topic-12,jtitle-topic-13,jtitle-topic-14,jtitle-topic-15,jtitle-topic-16,jtitle-topic-17,jtitle-topic-18,jtitle-topic-19
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.647027245549,0.0431203140589,0.166134485919,0.0251370479973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186513941048,0.0186513941045,0.0186513948003,0.0186513941045,0.0186513941079,0.0186513941077,0.0186513941045,0.0186513942711,0.0186513941045,0.0186513941117,0.0186513941192,0.0186513941743,0.0186513941045,0.0186513941641,0.645623507353,0.0186513942305,0.0186513941045,0.0186513941051,0.0186513976186,0.0186513941045
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.498323019823,0.0108563889378,0.0149891978938,0.210231168324,0.14948467588,0.0261024121746,0.0172354743311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066942599077,0.269048005538,0.498149194747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.319283851217,0.0131008854897,0.117789326713,0.216798675479,0.187414490667,0.0136093375864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113428365568,0.011342836665,0.0113428368415,0.0113428366278,0.696952082068,0.0113428368092,0.0113428371129,0.0113428369658,0.0113428366744,0.0988768561307,0.0113428369118,0.0113428366739,0.0113428366627,0.0113428366349,0.0113428365499,0.0113428367678,0.0113428372466,0.0113428367528,0.0113428367018,0.0113428366459
0.289683364547,0.407305896162,0.111355463129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184441463936,0.36390505183,0.0184441465292,0.0184441463964,0.0184441464952,0.0184441464041,0.0184441463885,0.0184441463885,0.0184441463885,0.018444146411,0.0184441464288,0.0184441463887,0.018444146433,0.0184441463912,0.0184441463906,0.0184441466258,0.304100312547,0.0184441463885,0.0184441463885,0.0184441463932
0.659083699194,0.0223795475928,0.0592148646204,0.0834963286095,0.0652339309584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133853629022,0.0133853629215,0.0133853633776,0.0133853629069,0.0133853629238,0.0133853629004,0.0133853629004,0.0133853629158,0.013385363002,0.626598043563,0.132465423447,0.0133853629002,0.0133853629046,0.0133853629114,0.0133853629039,0.0133853629022,0.0133853629003,0.0133853629473,0.0133853629591,0.0133853629109
0.490173080173,0.0160910573431,0.187904651939,0.0221225704257,0.189100846986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485048407273,0.0133904843352,0.0133904841503,0.0133904841276,0.172377755314,0.0133904841166,0.11493560559,0.0133904838716,0.0133904841941,0.0133904838543,0.0133904842787,0.0133904837843,0.013390484301,0.0133904838589,0.0133904837828,0.0133904846872,0.0133904856531,0.0133904844155,0.0133904842807,0.0133904841326
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.456873634834,0.0273340852959,0.347345290519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0173324557672,0.0173324557763,0.670683340136,0.0173324557822,0.0173324558009,0.017332455794,0.0173324557546,0.0173324557752,0.0173324557626,0.0173324557626,0.0173324557765,0.0173324557599,0.0173324559104,0.0173324557731,0.0173324557626,0.0173324557609,0.0173324557937,0.0173324557744,0.0173324557878,0.0173324557888
