cindustry,cname,cid
Telecommunications,T-Mobile,1392
Management Consulting,Wipro Consulting,1314
Biotechnology,Lonza: A Global Leader In Life Sciences,7462
Hospital & Health Care,McKesson Health IT,1901
Pharmaceuticals,Actavis plc,7534
Cosmetics,Aveda,9857
Apparel & Fashion,Brown Shoe Company,10111
Sporting Goods,Remington Arms Company,77191
Supermarkets,Tops Markets,519589
Consumer Electronics,Bang & Olufsen,4742
Consumer Goods,Amway,162395
Furniture,Simmons Bedding Company,13010
Retail,Marks and Spencer,4558
Entertainment,PlayStation,1254
Gambling & Casinos,Gamesys,40697
Food & Beverages,Coca-Cola FEMSA,163134
Museums & Institutions,Exploratorium,17041
Banking,TD,2775
Insurance,ACE Group,1269
Financial Services,Citi,11448
Real Estate,Howard Hanna Real Estate Services,36063
Computer Software,JDA Software,3267
Internet,Yelp,31517
Semiconductors,SanDisk,4251
Telecommunications,Amdocs,1539
Management Consulting,Hitachi Consulting,4049
Biotechnology,Dow AgroSciences,2564
Hospital & Health Care,The Advisory Board Company,166346
Pharmaceuticals,Celgene,8348
Cosmetics,Elizabeth Arden,7993
Apparel & Fashion,Lands' End,6083
Sporting Goods,Mizuno USA,266020
Supermarkets,Intermarché,164412
Consumer Electronics,Dolby Laboratories,6229
Consumer Goods,Hallmark Cards,4798
Furniture,BoConcept,162753
Retail,"Lowe's Companies, Inc.",4128
Entertainment,Live Nation Entertainment,6593
Gambling & Casinos,Lottomatica,24610
Food & Beverages,MillerCoors,204489
Museums & Institutions,California Academy of Sciences,20513
Banking,Wells Fargo Home Mortgage,1237
Insurance,WellPoint,2619
Financial Services,Morgan Stanley,497017
Real Estate,Douglas Elliman Real Estate,8363
Computer Software,FactSet,163755
Internet,PayPal,1482
Semiconductors,Micron Technology,3690
Telecommunications,BlackBerry,2828
Management Consulting,Bain & Company,2114
Biotechnology,Gilead Sciences,163993
Hospital & Health Care,Siemens Healthcare,157241
Pharmaceuticals,Takeda Pharmaceuticals,5482
Cosmetics,Belcorp,14812
Apparel & Fashion,Kate Spade & Company,5437
Sporting Goods,BRG Sports,17671
Supermarkets,Save Mart Supermarkets,2918
Consumer Electronics,Toshiba,157301
Consumer Goods,Wrigley,4283
Furniture,Target Commercial Interiors,263674
Retail,Loblaw Companies Limited,164756
Entertainment,HBO,4749
Gambling & Casinos,BCLC,29096
Food & Beverages,H.J. Heinz Company,164197
Museums & Institutions,Chicago Botanic Garden,31305
Banking,ANZ,2437
Insurance,"Coventry Health Care, an Aetna Company",5564
Financial Services,Barclays Investment Bank,1421
Real Estate,Long & Foster Companies,201108
Computer Software,Virtusa,5140
Internet,"Expedia, Inc.",2751
Semiconductors,Qimonda,2147
Telecommunications,AT&T Small Business,157238
Management Consulting,Heidrick & Struggles,3975
Biotechnology,"PerkinElmer, Inc.",4562
Hospital & Health Care,Erasmus MC,7394
Pharmaceuticals,Bayer,1893
Cosmetics,LUSH FRESH HANDMADE COSMETICS North America,344707
Apparel & Fashion,Calvin Klein,162866
Sporting Goods,Pearl Izumi,6211
Supermarkets,Defense Commissary Agency,42263
Consumer Electronics,Belkin International,162683
Consumer Goods,Mars Petcare,1547
Furniture,La-Z-Boy,12250
Retail,Aramark,2815
Entertainment,Disney ABC Television Group,1299
Gambling & Casinos,BetClic,202539
Food & Beverages,Dr Pepper Snapple Group,231770
Museums & Institutions,Nederlands Instituut voor Beeld en Geluid,30951
Banking,SunTrust Bank,2692
Insurance,AEGON Americas,3256
Financial Services,Barclays,1426
Real Estate,Irvine Company,7256
Computer Software,Citrix,2641
Internet,Walmart eCommerce,4192
Semiconductors,GLOBALFOUNDRIES,241309
Telecommunications,Nortel Networks,1092
Management Consulting,A.T. Kearney,2196
Biotechnology,Chr. Hansen A/S,5971
Hospital & Health Care,Carestream,1517
Pharmaceuticals,"Alcon, a Novartis company",5275
Cosmetics,L'Occitane en Provence,164659
Apparel & Fashion,BESTSELLER,7132
Sporting Goods,Thule Group,16061
Supermarkets,Fairway Market,248680
Consumer Electronics,Amazon Lab126,208137
Consumer Goods,Coca-Cola Enterprises,3182
Furniture,Kimball International,9782
Retail,IKEA Group,2743
Entertainment,Technicolor,1141
Gambling & Casinos,Stan James,53298
Food & Beverages,Coca-Cola Amatil,163132
Museums & Institutions,The Children's Museum of Indianapolis,21189
Banking,RBC,1808
Insurance,Aetna,2807
Financial Services,New York Life Insurance Company,3432
Real Estate,Sotheby's International Realty,166057
Computer Software,Red Hat,3545
Internet,Akamai Technologies,3925
Semiconductors,"LSI, an Avago Technologies Company",164778
Telecommunications,airtel,3583
Management Consulting,Egon Zehnder,5652
Biotechnology,Human Genome Sciences,9852
Hospital & Health Care,Beth Israel Deaconess Medical Center,1659
Pharmaceuticals,Boehringer Ingelheim,3235
Cosmetics,Stila Cosmetics,43297
Apparel & Fashion,The North Face,4667
Sporting Goods,Brooks Running,26710
Supermarkets,Bi-Lo Holdings,3267360
Consumer Electronics,Pace,165375
Consumer Goods,Henkel,258644
Furniture,Teknion,14835
Retail,Kohl's Department Stores,5749
Entertainment,Warner Bros. Entertainment Group of Companies,2470
Gambling & Casinos,Bet365,40163
Food & Beverages,Olam International,14266
Museums & Institutions,Science Museum of Minnesota,20471
Banking,Union Bank,4375
Insurance,Chartis,442494
Financial Services,Bloomberg LP,2494
Real Estate,K. Hovnanian Homes,8229
Computer Software,Informatica,3858
Internet,Myspace,2070
Semiconductors,Cypress Semiconductor Corporation,3579
Telecommunications,Time Warner Cable,2031
Management Consulting,Navigant,4904
Biotechnology,Biocon,162713
Hospital & Health Care,DaVita Kidney Care,6487
Pharmaceuticals,PPD,4430
Cosmetics,Benefit Cosmetics,19295
Apparel & Fashion,Kenneth Cole Productions,10829
Sporting Goods,Specialized Bicycle Components,166083
Supermarkets,Piggly Wiggly Carolina,411009
Consumer Electronics,iRobot,9860
Consumer Goods,Nestlé Purina North America,1396
Furniture,Design Within Reach,9648
Retail,L Brands,2250
Entertainment,Lucasfilm,3815
Gambling & Casinos,"Station Casinos, LLC",166147
Food & Beverages,Schincariol,23625
Museums & Institutions,Smithsonian Enterprises,5878
Banking,CIBC,1826
Insurance,Willis,3994
Financial Services,"Ameriprise Financial Services, Inc.",3032
Real Estate,ZipRealty,7982
Computer Software,BMC Software,1597
Internet,Vistaprint,8095
Semiconductors,Altera,3864
Telecommunications,Telstra,1636
Management Consulting,Hay Group,5178
Biotechnology,"EMD Serono, Inc.",4237
Hospital & Health Care,Fresenius Medical Care,5978
Pharmaceuticals,Baxter International Inc.,2371
Cosmetics,Bare Escentuals,399162
Apparel & Fashion,HUGO BOSS,164238
Sporting Goods,Quality Bicycle Products,60539
Supermarkets,"SMU S.A. (Unimarc, M10, Alvi ,Ok Market, Telemercados)",344969
Consumer Electronics,TiVo,166454
Consumer Goods,Novartis Consumer Health,1405
Furniture,Kimball Office,346661
Retail,Coach,5618
Broadcast Media,"Nickelodeon - UK, CEE, Israel, Russia, Ukraine, Baltics & Australia",1885
Gambling & Casinos,Mohegan Sun,13434
Food & Beverages,Dunkin' Brands,163520
Museums & Institutions,National Archives,22654
Banking,HDFC Bank,164151
Insurance,Zurich Insurance Company Ltd,2458
Financial Services,Morgan Stanley Wealth Management,1351
Real Estate,General Growth Properties,6612
Computer Software,PTC,1935
Internet,Pandora,26479
Semiconductors,Maxim Integrated,4801
Telecommunications,TELUS,1974
Management Consulting,Spencer Stuart,157317
Biotechnology,QIAGEN,8276
Hospital & Health Care,Dana-Farber Cancer Institute,1657
Pharmaceuticals,PAREXEL,4451
Cosmetics,Kiehl's Since 1851,44489
Apparel & Fashion,Boden,24463
Sporting Goods,GRUPO SBF,134284
Supermarkets,Supermercados Peruanos S.A.,331843
Consumer Electronics,HARMAN International,6419
Consumer Goods,Ferrero,5472
Furniture,Ahrend,12367
Retail,"The TJX Companies, Inc.",5121
Entertainment,Cirque du Soleil,7673
Gambling & Casinos,Sporting Index Group,35444
Food & Beverages,Tastefully Simple,12104
Museums & Institutions,Denver Museum of Nature & Science,32151
Banking,Scotiabank,3139
Insurance,AXA,2221
Financial Services,Edward Jones,3677
Real Estate,Toll Brothers,166471
Machinery,Komatsu America Corp.,164623
Mining & Metals,The De Beers Group of Companies,163392
Oil & Energy,Hess Corporation,5458
Shipbuilding,Polo dello Shipping,5340603
Textiles,Kravet,103004
Paper & Forest Products,Hollingsworth & Vose,30335
Farming,"Olde Stone Orchard, LLC",1557717
Primary/Secondary,Council Rock School District,37214
Higher Education,Texas A&M University,4556
Research,UMass Medical School,4512
Military,"Professional Solutions, LLC",250091
Executive Office,First Nonprofit Foundation,2753184
Newspapers,GateHouse Media,26939
Publishing,Hachette Filipacchi Media,5765
Information Services,GRM Document Management,30361
Environmental Services,EnergySolutions,24748
Package/Freight Delivery,AIRCOM CARGO LOGISTICS LTD,5339322
Consumer Services,American Laser Skincare,504216
Transportation/Trucking/Railroad,Penske Truck Leasing,5756
Airlines/Aviation,Jeppesen,164531
