cindustry,cname,cid
Computer Software,Microsoft,1035
Internet,Google,1441
Semiconductors,Intel Corporation,1053
Telecommunications,Alcatel-Lucent,1058
Management Consulting,Deloitte,1038
Biotechnology,Genentech,2276
Hospital & Health Care,GE Healthcare,1016
Pharmaceuticals,Pfizer,1185
Cosmetics,Mary Kay Inc.,2835
Apparel & Fashion,Under Armour,14140
Sporting Goods,Nike,2029
Supermarkets,Carrefour,3046
Consumer Electronics,Apple,162479
Consumer Goods,Unilever,1248
Furniture,Herman Miller,164178
Retail,Target,1512
Entertainment,The Walt Disney Company,1292
Gambling & Casinos,Caesars Entertainment Corporation,4210
Food & Beverages,PepsiCo,1431
Museums & Institutions,Smithsonian Institution,5875
Banking,Bank of America,1123
Insurance,State Farm,2381
Financial Services,Merrill Lynch,1178
Real Estate,"Keller Williams Realty, Inc.",2224
Computer Software,SAP,1115
Internet,Amazon,1586
Semiconductors,Texas Instruments,1397
Telecommunications,Huawei Technologies,3014
Management Consulting,Booz Allen Hamilton,1403
Biotechnology,Amgen,2068
Hospital & Health Care,Abbott,1612
Pharmaceuticals,AstraZeneca,1603
Cosmetics,Avon,2614
Apparel & Fashion,Levi Strauss & Co.,3137
Sporting Goods,adidas,3748
Supermarkets,Whole Foods Market,157353
Consumer Electronics,Motorola,1066
Consumer Goods,Procter & Gamble,1116
Furniture,Steelcase,166153
Retail,Walmart,2646
Entertainment,Viacom,1884
Gambling & Casinos,WMS Gaming,6067
Food & Beverages,Nestle S.A.,1393
Museums & Institutions,The Metropolitan Museum of Art,9800
Banking,Credit Suisse,1284
Insurance,Marsh,1874
Financial Services,JPMorgan Chase & Co.,1068
Real Estate,CBRE,2319
Computer Software,SAS,1491
Internet,LinkedIn,1337
Semiconductors,Freescale Semiconductor,1959
Telecommunications,AT&T,1052
Management Consulting,McKinsey & Company,1371
Biotechnology,Roche,1602
Hospital & Health Care,Johnson & Johnson,1207
Pharmaceuticals,GSK,1399
Cosmetics,Natura,6309
Apparel & Fashion,Tommy Hilfiger,5826
Sporting Goods,adidas group,157242
Supermarkets,SUPERVALU,2912
Consumer Electronics,Sony,1252
Consumer Goods,Kimberly-Clark,3439
Furniture,Haworth,164136
Retail,Starbucks,2271
Entertainment,Electronic Arts (EA),1449
Gambling & Casinos,Bally Technologies,8784
Food & Beverages,The Coca-Cola Company,1694
Museums & Institutions,Colonial Williamsburg Foundation,24385
Banking,Rabobank,1970
Insurance,MetLife,2213
Financial Services,HSBC,1241
Real Estate,Coldwell Banker,2037
Computer Software,Symantec,1231
Internet,Facebook,10667
Semiconductors,AMD,1497
Telecommunications,Avaya,1494
Management Consulting,Capgemini Consulting,1075
Biotechnology,Agilent Technologies,1526
Hospital & Health Care,Kaiser Permanente,1550
Pharmaceuticals,Novartis,1406
Cosmetics,The Estée Lauder Companies Inc.,4059
Apparel & Fashion,Oakley,7471
Sporting Goods,DECATHLON,6150
Supermarkets,Winn-Dixie,166949
Consumer Electronics,Samsung Electronics,1753
Consumer Goods,Kellogg Company,3922
Furniture,Humanscale,15038
Retail,Sears Holdings Corporation,1944
Entertainment,"NBCUniversal, Inc.",1828
Gambling & Casinos,Aristocrat,162514
Food & Beverages,Safeway,3498
Museums & Institutions,The Museum of Modern Art,11249
Banking,ABN AMRO Bank N.V.,1173
Insurance,Allstate,1835
Financial Services,Wells Fargo,1235
Real Estate,Coldwell Banker Residential Brokerage,2035
Computer Software,CA Technologies,1372
Internet,Yahoo,1288
Semiconductors,Broadcom,3072
Telecommunications,Ericsson,1060
Management Consulting,The Boston Consulting Group,1784
Biotechnology,Thermo Fisher Scientific (Life Technologies),2861
Hospital & Health Care,UnitedHealth Group,1720
Pharmaceuticals,Merck,1486
Cosmetics,Coty,5058
Apparel & Fashion,VF Corporation,4670
Sporting Goods,Nike EMEA,2028
Supermarkets,Lowes Foods,41004
Consumer Electronics,LG Electronics,3503
Consumer Goods,Whirlpool Corporation,2551
Furniture,The HON Company,22364
Retail,Best Buy,2127
Entertainment,Time Warner Inc.,1000
Gambling & Casinos,"The Venetian I The Palazzo, Resort Hotel & Casino I Las Vegas Sands Corp.",9464
Food & Beverages,US Foods,166714
Museums & Institutions,"Museum of Science and Industry, Chicago",19682
Banking,Standard Chartered Bank,2235
Insurance,Nationwide Insurance,2340
Financial Services,American Express,1277
Real Estate,RE/MAX,2208
Computer Software,Adobe,1480
Internet,Salesforce,3185
Semiconductors,STMicroelectronics,1618
Telecommunications,Nokia Networks,1069
Management Consulting,ICF International,5742
Biotechnology,Genzyme,3802
Hospital & Health Care,Cardinal Health,2162
Pharmaceuticals,Eli Lilly and Company,1663
Cosmetics,L'Oréal,1662
Apparel & Fashion,Ralph Lauren,4688
Sporting Goods,New Balance,8274
Supermarkets,Coborn's Inc.,141172
Consumer Electronics,Sony Electronics,1253
Consumer Goods,SC Johnson,4039
Furniture,Art Van Furniture,29088
Retail,The Home Depot,1534
Entertainment,Sony Pictures Entertainment,1256
Gambling & Casinos,BetVictor,16650
Food & Beverages,Nestlé Waters North America,1395
Museums & Institutions,Asia Society,19502
Banking,BNP Paribas,1508
Insurance,Liberty Mutual Insurance,2701
Financial Services,J.P. Morgan,1067
Real Estate,Realty Executives,6179
Computer Software,VMware,2988
Internet,Twitter,96622
Semiconductors,ON Semiconductor,165308
Telecommunications,Nokia,1070
Management Consulting,"Strategy&, part of the PwC network (formerly Booz & Company)",224605
Biotechnology,MedImmune,6169
Hospital & Health Care,McKesson,1900
Pharmaceuticals,Sanofi,1642
Cosmetics,Beiersdorf,162679
Apparel & Fashion,BCBGMAXAZRIAGROUP,8989
Sporting Goods,Trek Bicycle Corporation,17224
Supermarkets,BI-LO,18955
Consumer Electronics,Bose Corporation,4030
Consumer Goods,RB,3098
Furniture,Ashley Furniture Industries,162547
Retail,Walgreens,3589
Entertainment,Walt Disney World,166865
Gambling & Casinos,PokerStars,523098
Food & Beverages,Campbell Soup Company,4513
Museums & Institutions,National Trust for Historic Preservation,19683
Banking,Royal Bank of Scotland,1730
Insurance,Travelers,3088
Financial Services,UBS,1214
Real Estate,CENTURY 21®,3347
Computer Software,HP Software,1024
Internet,AOL,1258
Semiconductors,Infineon Technologies,2148
Telecommunications,Vodafone,1217
Management Consulting,Huron Consulting Group,5751
Biotechnology,Biogen Idec,3961
Hospital & Health Care,Express Scripts,4969
Pharmaceuticals,Bristol-Myers Squibb,1773
Cosmetics,BeautiControl,12887
Sporting Goods,Burton Snowboards,10996
Supermarkets,"Lund Food Holdings, Inc.",75730
Consumer Electronics,Panasonic USA,2610
Consumer Goods,Reebok,4945
Furniture,Sauder Woodworking,77014
Retail,Macy's,2300
Entertainment,Condé Nast,3308
Gambling & Casinos,Rank Group,30063
Food & Beverages,HEINEKEN,3131
Museums & Institutions,The British Museum,24207
Banking,Banco Santander,2873
Insurance,AIG,1760
Financial Services,GE Capital,1023
Real Estate,Savills,9063
Computer Software,OpenText,2709
Internet,eBay Inc,1481
Semiconductors,Marvell Semiconductor,3772
Telecommunications,Sprint,1106
Management Consulting,BearingPoint,1349
Biotechnology,Centocor,1206
Hospital & Health Care,Quest Diagnostics,4727
Pharmaceuticals,CVS Health,4680
Cosmetics,Revlon,165730
Apparel & Fashion,Puma,165597
Sporting Goods,Callaway Golf,8217
Supermarkets,Hannaford Supermarkets,14966
Consumer Electronics,Logitech,4328
Consumer Goods,Newell Rubbermaid,157237
Furniture,National Office Furniture,238725
Retail,Gap Inc.,1677
Entertainment,Ticketmaster,5097
Gambling & Casinos,Holland Casino,9171
Food & Beverages,SABMiller,4784
Museums & Institutions,J. Paul Getty Trust,9430
Banking,Société Générale,1691
Insurance,Farmers Insurance,3240
Financial Services,Northwestern Mutual,2445
Real Estate,"Weichert, Realtors",166906
Computer Software,MicroStrategy,3643
Internet,Monster,1844
Semiconductors,ASML,3894
Telecommunications,Verizon Wireless,2696
Management Consulting,PA Consulting Group,2547
Biotechnology,Illumina,7513
Hospital & Health Care,Cleveland Clinic,5656
Pharmaceuticals,Novo Nordisk,2227
Cosmetics,ORIFLAME COSMETICS,165341
Apparel & Fashion,Quiksilver,10621
Sporting Goods,Warrior Sports,86432
Supermarkets,Groupe Casino,355329
Consumer Electronics,Garmin International,9240
Consumer Goods,Colgate Palmolive,2748
Furniture,Spacesaver Corporation,56990
Retail,Tesco PLC,3266
Entertainment,Netflix,165158
Gambling & Casinos,VGT,14841
Food & Beverages,Coca-Cola Hellenic Bottling Company,5596
Museums & Institutions,The Field Museum,16059
Banking,U.S. Bank,2532
Insurance,Humana,4257
Financial Services,Fidelity Investments,1307
Real Estate,Emaar,15006
Computer Software,Intuit,1666
Internet,Groupon,355611
Semiconductors,Applied Materials,2018
Telecommunications,BT,1182
Management Consulting,RGP,4350
Biotechnology,Dendreon,11299
Hospital & Health Care,HCA,3626
Pharmaceuticals,Quintiles,4057
Cosmetics,Alberto Culver,162362
Apparel & Fashion,C&A,53978
Sporting Goods,Road Runner Sports,18592
Supermarkets,D&S,33107
Consumer Electronics,TomTom,166474
Consumer Goods,General Mills,2822
Furniture,KI,266421
Retail,QVC,5419
Entertainment,"Fox (Film, TV & Sports)",2074
Gambling & Casinos,Boyd Gaming,21292
Food & Beverages,Anheuser-Busch,4510
Museums & Institutions,Tate,10686
Banking,ICICI Bank,2967
Insurance,Swiss Re,3845
Financial Services,Capital One,1419
Real Estate,Hines,164195
Computer Software,Infor,1711
Internet,GLG,163983
Semiconductors,NXP Semiconductors,1088
