cindustry,cname,cid
Newspapers,Community Impact Newspaper,779682
Publishing,Advantage Business Media,23795
Information Services,"Dialog, LLC",222088
Environmental Services,Ohio EPA,4217
Package/Freight Delivery,Receive and Deliver Services,5141400
Civic & Social Organization,Association of Former Internal Revenue Executives,2015697
Consumer Services,Mary-am Maid Services,2856448
Transportation/Trucking/Railroad,FleetPride,143604
Warehousing,Cyclone Archive,5181882
Airlines/Aviation,MEA,164903
Maritime,Goldens Italia,5334633
Information Technology & Services,Cbeyond,162921
Market Research,Infiniti Research,200921
Public Relations,Bragman Nyman Cafarelli (BNC),15644
Nonprofit Organization Management,The Prince's Trust,166399
Fundraising,The Dreams Come True Business Forum,5297644
Program Development,MilloLab,5322108
Staffing & Recruiting,"Balance - Advies, Projecten, Interim",162619
Professional Training,US Army Retired,1051595
Venture Capital,"Crypto Currency Partners, LP",3748873
Political Organization,Dachverband Schweizer Jugendparlamente DSJ,5275806
Computer Games,Splash Damage,47756
Electrical & Electronic Manufacturing,Aeroflex,162320
Online Publishing,Indiewire,1660608
Nanotechnology,Photonic Integrated Circuits for visible light,5160630
Music,Ocean Breed,5348818
Logistics & Supply Chain,The Scoular Company,53708
Computer & Network Security,"mZeal Communications, Inc",2489035
Computer Software,Intergraph,3752
Internet,Meetup,30984
Semiconductors,Lam Research,5107
Telecommunications,Reliance Communications,2377
Management Consulting,Lee Hecht Harrison,5235
Biotechnology,Pall Corporation,6707
Hospital & Health Care,Northwestern Memorial Hospital,165221
Pharmaceuticals,Sandoz,4891
Cosmetics,Nerium International,2277018
Apparel & Fashion,Lucky Brand,20700
Sporting Goods,Head,90779
Supermarkets,Vasche e Docce di Tekno World S.r.l.,5334127
Consumer Electronics,Sling Media,13913
Consumer Goods,The Hershey Company,166377
Furniture,Brook Furniture Rental,24466
Retail,Sports Authority,5892
Entertainment,Production Resource Group,14128
Gambling & Casinos,Nederlandse Staatsloterij,18530
Food & Beverages,Kerry Group,5802
Museums & Institutions,Van Gogh Museum,50660
Banking,Federal Deposit Insurance Corporation,6974
Insurance,Zurich North America,2459
Financial Services,CME Group,5499
Real Estate,Simon Property Group,165978
Investment Banking/Venture,Pareto AS,165398
Investment Management,Man Group,6903
Building Materials,Boise Cascade Company,162755
Architecture & Planning,STV,12164
Aviation & Aerospace,Beechcraft,164135
Automotive,Harley-Davidson Motor Company,164123
Chemicals,Univar,8652
Machinery,Graco,11262
Mining & Metals,Severstal NA,147574
Oil & Energy,Petrofac,322219
Shipbuilding,Z.O.K. Corrosion Protection,5315012
Utilities,Progress Energy,165556
Textiles,Zoltek,72048
Paper & Forest Products,Resolute Forest Products,252526
Railroad Manufacture,Next Generation Rail - Cheshire,5264383
Farming,Cow Planet,5348408
Primary/Secondary,Milwaukee Public Schools,212827
Higher Education,The Ohio State University,3173
Education Management,San Diego Unified School District,10646
Research,Imperial College London,5106
Military,Air Force Space Command,298473
Government Administration,U.S. Department of Housing and Urban Development,6768
Executive Office,BoxJelly,2304416
Law Enforcement,Office of Justice Programs (OJP),3565588
Marketing & Advertising,Comcast Spotlight,1701
Newspapers,MediaNews Group,16656
Publishing,Chambers and Partners,34215
Information Services,Esko,163683
Environmental Services,Pace Analytical,49911
Package/Freight Delivery,THAC EXPRESS - Entrega Rápida,5317556
Civic & Social Organization,Japan International Cooperation Agency (JICA),244407
Consumer Services,CertaPro Painters,24840
Transportation/Trucking/Railroad,Hendrickson,13015
Warehousing,PPM Logistics Ltd,5294097
Airlines/Aviation,Kingfisher Airlines,32064
Maritime,VIKING Life-Saving Equipment A/S,587473
Information Technology & Services,Tech Mahindra,3067
Market Research,"Compete, Inc.",12722
Public Relations,Qorvis MSLGROUP,22105
Nonprofit Organization Management,Qatar Foundation,25525
Fundraising,Wall Street Rocks,2391687
Program Development,"Lingua Brava, LLC",2621278
Staffing & Recruiting,Insight Global,11056
Professional Training,"Linkage, Inc.",10251
Venture Capital,Venrock,28444
Political Organization,Friends of Don Beyer,5108102
Computer Games,PopCap Games,17209
Electrical & Electronic Manufacturing,WESCO Distribution,11758
Online Publishing,"Ziff Davis, LLC",4469
Nanotechnology,Sustainable Protect,5315910
Music,Rdio,572316
Logistics & Supply Chain,OHL,208032
Computer & Network Security,NitroSecurity,22087
Wireless,Enfora,24066
Security & Investigations,Trigion,97015
"Health, Wellness & Fitness",Crunch Fitness,15651
Media Production,IdtV,164293
Animation,Rainbow S.p.A.,305675
Commercial Real Estate,Apartment Realty Advisors,26247
Capital Markets,Emkay Global Financial Services Ltd,555804
Think Tanks,TEDxHamptonRoads,5136348
Philanthropy,OneUmbrella Foundation,3574072
E-learning,Excelsoft Technologies,142259
Import & Export,The Oppenheimer Group,53733
Mechanical or Industrial Engineering,Thermax,166428
Human Resources,Sagenn,50030
Business Supplies & Equipment,Carr Business Systems,42018
Graphic Design,11,2032914
International Trade & Development,Pon,383904
Luxury Goods & Jewelry,Rosy Blue,56637
Renewables & Environment,Recyclebank,60554
"Glass, Ceramics & Concrete",byMaks,5339528
Packaging & Containers,Uline,12667
Industrial Automation,FANUC America Corporation,14960
Computer Software,TOTVS,228296
Internet,Naukri.com,5942
Semiconductors,Zoran,6048
Telecommunications,ACN,5035
Management Consulting,Stanton Chase International: Executive Search Consultants,7042
Biotechnology,Abcam,41780
Hospital & Health Care,Memorial Hermann Health System,164930
Pharmaceuticals,INC Research,11776
Cosmetics,Boko Botanicals,1765228
Apparel & Fashion,Kwintet,55550
Sporting Goods,Let's Go Aero,3763938
Supermarkets,"The Pinehills Market, LLC",5222020
Consumer Electronics,Livescribe Inc.,208336
Consumer Goods,BSH Turkey,5811
Furniture,"Ashley Furniture HomeStores of Dayton, Columbus, Cincinnati, and Northern Kentucky",5086250
Retail,Toys R Us,4990
Entertainment,UTV,166741
Gambling & Casinos,L'Auberge du Lac,116906
Food & Beverages,Harry & David,13095
Museums & Institutions,Museum Barberini gGmbH,5086104
Banking,Van Lanschot Bankiers,166760
Insurance,CUNA Mutual Group,163299
Financial Services,Primerica,4416
Real Estate,"Berkshire Hathaway HomeServices Fox & Roach, Realtors",165582
Investment Banking/Venture,Mizuho International,785106
Investment Management,Millennium Management,164987
Building Materials,Moen Incorporated,9152
Architecture & Planning,HKS,13376
Aviation & Aerospace,Messier-Bugatti-Dowty,13148
Automotive,MSX International,165062
Chemicals,Sika,165970
Machinery,Enerpac,38827
Mining & Metals,Worthington Industries,12842
Oil & Energy,Transocean,8210
Shipbuilding,De Steenschuit,5257297
Utilities,PPL Corporation,10091
Textiles,TAFFETA,5347211
Paper & Forest Products,Loparex,59988
Railroad Manufacture,TXM Plant Ltd,5155062
Farming,Agritec Plant Research s.r.o.,5340231
Primary/Secondary,Quality Schools International,1920141
Higher Education,University of Dayton,9877
Education Management,American Management Association,12230
Research,Waters,166880
Military,Linxx Global Solutions,1257735
Government Administration,City of Austin,163072
Executive Office,Freestone PA Limited,5345490
Law Enforcement,Adaptación a la LSSI,5305362
Marketing & Advertising,SGK,7112
Newspapers,The Buffalo News,21188
Publishing,Nature Publishing Group,7131
Information Services,GlobalData,218806
Environmental Services,Rumpke Waste & Recycling,47610
Package/Freight Delivery,Vestracker,5244073
Civic & Social Organization,Le CERF,5093322
Consumer Services,Fredericksburg Regional Chamber of Commerce,2012261
Transportation/Trucking/Railroad,Queensland Rail,12307
Warehousing,Mobile Self Store London,5255421
Airlines/Aviation,Pratt & Whitney Canada,265987
Maritime,TAG Offshore,1720743
Information Technology & Services,Visa,2190
Market Research,Vault.com,15686
Public Relations,LaForce + Stevens,29526
Nonprofit Organization Management,National Wildlife Federation,11401
Fundraising,Our Home Patch,5343562
Program Development,National Disability Institute,1666794
Staffing & Recruiting,Volt Workforce Solutions,166839
Professional Training,Mosaic,166386
Venture Capital,First Round Capital,555078
Political Organization,New Partners,1312688
Computer Games,Big Huge Games,17845
Electrical & Electronic Manufacturing,WEG,11931
Online Publishing,TheStreet.com,9633
Nanotechnology,Quantachrome UK,5281746
Music,Donate To Band,2829539
Logistics & Supply Chain,GENCO,12775
Computer & Network Security,NIKSUN,13077
Wireless,"Networks In Motion, Inc.",25505
Security & Investigations,Tech Systems,39587
"Health, Wellness & Fitness",Medisys,37625
Media Production,Ensequence,20669
Animation,"Coffeebot Studios, LLC",5337391
Commercial Real Estate,"PS Business Parks, Inc.",355205
Capital Markets,Arion Holding Company,2761197
Think Tanks,Innovate Manitoba,2580611
Philanthropy,Irish American Business Network,2458790
E-learning,U&I Learning,21049
Import & Export,ALGICO s.r.l.,5345013
Mechanical or Industrial Engineering,"Chart Industries, Inc.",27725
Human Resources,Randstad Sourceright,502882
Business Supplies & Equipment,Nagem,666422
Graphic Design,"TM Design, Inc.",1089878
International Trade & Development,Alpicom S.A.,45780
Luxury Goods & Jewelry,Shop Theorem,3308006
Renewables & Environment,FuelCell Energy,163910
"Glass, Ceramics & Concrete",The Glass Guild Ltd,5292227
Packaging & Containers,Bunzl UK and Ireland,162831
Industrial Automation,Barry-Wehmiller Design Group,22240
Computer Software,Manhattan Associates,4376
Internet,Rakuten,47584
Semiconductors,Nanometrics,11214
Telecommunications,TeliaSonera,1914
Management Consulting,The Hackett Group,4619
Biotechnology,"MacroGenics, Inc.",104791
Hospital & Health Care,HCR ManorCare,164148
Pharmaceuticals,Ipsen,8511
Cosmetics,Dermal Systems Inc,5348894
Apparel & Fashion,Myntra.com,361348
Sporting Goods,American Underwater Products,1751278
Supermarkets,Supermarkets / High Volume Sites,5118600
Consumer Electronics,EPOS,34811
Consumer Goods,Arc'teryx Equipment Inc.,137624
Furniture,Creative Office Pavilion,26824
Retail,Restoration Hardware,165725
Entertainment,Panavision,21399
Gambling & Casinos,Tournament Poker Edge,1302784
Food & Beverages,Schweppes Australia,599780
Museums & Institutions,Château Musée vodou,5349416
Banking,Kotak Mahindra Bank,5632
