cindustry,cname,cid
Mechanical or Industrial Engineering,GTI,164083
Human Resources,M&T Resources,16084
Business Supplies & Equipment,Staples Australia Pty Limited,458868
Graphic Design,Brand Shepherd,1103118
International Trade & Development,U.S. Commercial Service,4834
Luxury Goods & Jewelry,en.JOYYE Inc,3342640
Renewables & Environment,First Wind,338166
"Glass, Ceramics & Concrete",APGreen de México S.A. de C.V.,5302929
Packaging & Containers,"Crown Holdings, Inc.",15416
Industrial Automation,"Assembly & Test Worldwide, Inc.",218245
Computer Software,Quest Software,2880
Internet,"Baidu, Inc.",48433
Semiconductors,Silicon Image,7300
Telecommunications,Polycom,3296
Management Consulting,Clarkston Consulting,8756
Biotechnology,Complete Genomics Inc.,280607
Hospital & Health Care,US Oncology,166716
Pharmaceuticals,Galderma,163931
Cosmetics,Venutti Professional,5349385
Apparel & Fashion,DBApparel,80443
Sporting Goods,"Anderson Bat Company, LLC",1759221
Supermarkets,Gruppo DF - Retail - Supermarket - Import - Export,5122164
Consumer Electronics,AOC Brazil,386905
Consumer Goods,Hill's Pet Nutrition,9676
Furniture,Gispen International BV,26910
Retail,Sunoco,7612
Entertainment,Source Interlink Companies,27179
Gambling & Casinos,Table Mountain Casino,1385616
Food & Beverages,"Diamond Foods, Inc.",864037
Museums & Institutions,Mobile & Apps,5349991
Banking,TCF Bank,6930
Insurance,Unum,166707
Financial Services,HSBC Global Banking and Markets,1243
Real Estate,Corporate Office Properties Trust,40204
Investment Banking/Venture,"Bryan, Garnier & Co",41835
Investment Management,First New York Securities,22502
Building Materials,"NCI Building Systems, Inc.",165128
Architecture & Planning,The Benham Companies,45363
Aviation & Aerospace,British Midland International,473721
Automotive,Snap-on Tools,166018
Chemicals,"Veyance Technologies, Inc.",227303
Machinery,Morris Material Handling,36352
Mining & Metals,PotashCorp,37849
Oil & Energy,Repsol,165707
Shipbuilding,Sarissa Vitters Shipyard,5206103
Utilities,AGL Resources,8904
Textiles,ContoBene enzyme wash service,5340209
Paper & Forest Products,Nantahala Forest Products,5316286
Railroad Manufacture,F.I.S.A. Fabbrica Italiana Sedili Autoferroviari S.r.l.,5023864
Farming,Orchid Farm Tech,5323647
Primary/Secondary,Mount Saint Mary Academy,1156214
Higher Education,University of Tennessee,166679
Education Management,China Europe International Business School (CEIBS),14457
Research,The Smart Cube,20615
Military,Wounded Wear,2518203
Government Administration,State of Maryland,7530
Executive Office,Collaboration Catalyst,5318470
Law Enforcement,Staffs Police,5246506
Marketing & Advertising,Initiative,164372
Newspapers,The Times,10208
Publishing,Sports Illustrated,1745
Information Services,iJET International,35544
Environmental Services,Synagro,95690
Package/Freight Delivery,SGT Corriere Espresso,5222449
Civic & Social Organization,Greater Statesville Chamber of Commerce,3141459
Consumer Services,Selective Search LLC,5251889
Transportation/Trucking/Railroad,Localiza Rent a Car,69807
Warehousing,"DomeUK - Road Salt Storage Solutions, Built to Last",5222995
Airlines/Aviation,Monarch Airlines,26541
Maritime,Fraser Yachts,55450
Information Technology & Services,Arrow Electronics,3570
Market Research,Northstar Research Partners,47347
Public Relations,ICR,164280
Nonprofit Organization Management,Rainforest Alliance,22572
Fundraising,GameNGive Inc.,5323506
Program Development,Grupo Fenik,5346223
Staffing & Recruiting,Huxley Banking & Financial Services,7355
Professional Training,Chartered Management Institute,38685
Venture Capital,Khosla Ventures,1580955
Political Organization,The Modern Republic,5335860
Computer Games,Longtail Studios,44814
Electrical & Electronic Manufacturing,Advanced Electronics Company,317730
Online Publishing,BlogHer,35852
Nanotechnology,Collaborate with Ilika,5248636
Music,LicenseQuote,2019626
Logistics & Supply Chain,ECT (Europe Container Terminals),163560
Computer & Network Security,S21sec,23956
Wireless,Fon,16828
Security & Investigations,"Allegion, PLC",3532968
"Health, Wellness & Fitness",HealthMedia,36090
Media Production,Dainik Jagran,44274
Animation,Metropolis Creative House,5316466
Commercial Real Estate,"McConnell Johnson Real Estate, LLC",2355016
Capital Markets,UM INVESTIMENTOS,348805
Think Tanks,The Strategic Forum,1429223
Philanthropy,Jewish Federation of San Diego County,1449174
E-learning,Liqvid eLearning Services Pvt Ltd,55983
Import & Export,OOO Itaco,5340583
Mechanical or Industrial Engineering,3D Systems Corporation,162213
Human Resources,Quickstart Global,47520
Business Supplies & Equipment,Doceo Office Solutions,3034857
Graphic Design,Rótulos Mancilla,5346327
International Trade & Development,International Resources Group,117263
Luxury Goods & Jewelry,Micha Design Jewelry,1066231
Renewables & Environment,IEA Renewable Energy,14233
"Glass, Ceramics & Concrete",TTR Vidros,5254898
Packaging & Containers,Winpak,72021
Industrial Automation,TURCK Inc.,50460
Computer Software,CDC Software,4130
Internet,Kelkoo,8482
Semiconductors,Nikon Precision Inc.,7516
Telecommunications,SingTel,5334
Management Consulting,Global Intelligence Alliance,91177
Biotechnology,Taconic Biosciences,29947
Hospital & Health Care,Houston Methodist,4529
Pharmaceuticals,Mylan,14264
Cosmetics,Madre Natura s.l.,5345818
Apparel & Fashion,hummel,72128
Sporting Goods,Juke Snowboarding,5342892
Supermarkets,India Shopping Rewards,3957790
Consumer Electronics,"SRS Labs, Inc.",30873
Consumer Goods,SCA - Hygiene and Forest Products Company,3850
Furniture,Móvel Único - móveis planejados,5344731
Retail,Dillards,7455
Entertainment,Exent,18770
Gambling & Casinos,GMBL Ltd,5320752
Food & Beverages,"Wendy's/Arby's Group, Inc.",378362
Museums & Institutions,Rack galerie,5315783
Banking,Natixis,157354
Insurance,Brown & Brown,7427
Financial Services,Heartland Payment Systems,11054
Real Estate,The JBG Companies,20964
Investment Banking/Venture,"Indian River Advisors, LLC",1285102
Investment Management,Mercer - Investments,2420
Building Materials,Zephyr,12816
Architecture & Planning,"KTGY Group, Inc.",40814
Aviation & Aerospace,Bangalore International Airport Ltd,13516
Automotive,MWM INTERNATIONAL Motores,456572
Chemicals,Teijin Aramid,24992
Machinery,SAME DEUTZ-FAHR,94477
Mining & Metals,Norsk Hydro,4187
Oil & Energy,Exterran,163749
Shipbuilding,Noxudol,5167885
Utilities,Trilliant,200273
Textiles,"Emtech Engineered Materials Technology, Inc.",5325683
Paper & Forest Products,Scierie de Challans,5283235
Railroad Manufacture,Электропоезд ЭГ2Тв,3732475
Farming,ECO-OIL ENERGIE SA,5316510
Primary/Secondary,OrdeHouden.nl,5340899
Higher Education,American University,6029
Education Management,QCDA - Qualifications & Curriculum Development Agency,521785
Research,TUBITAK,8970
Military,Tidewater Tactical,1583301
Government Administration,ICTU,164284
Executive Office,First Class Creative Solution UK/EU,5306523
Law Enforcement,Conservation Outcomes,5194447
Marketing & Advertising,Lowe and Partners Worldwide,7823
Newspapers,Concentra Media,4719
Publishing,Chronicle Books,17324
Information Services,Dansk Lægemiddel Information A/S,163472
Environmental Services,Sabesp,19125
Package/Freight Delivery,European Fulfilment,5189730
Civic & Social Organization,Goodwill Industries of San Antonio,2538739
Consumer Services,XCSE Experience Customer Service GmbH,3245946
Transportation/Trucking/Railroad,BostonCoach,21813
Warehousing,Pallet Racking,5201448
Airlines/Aviation,Swiss International Air Lines,166213
Maritime,360-Control,5342224
Information Technology & Services,Sungard Availability Services,1873
Market Research,Buxton,162845
Public Relations,M Consulting,64124
Nonprofit Organization Management,Institute of International Education,15784
Fundraising,Learning Disabilities Association of Halton,5313587
Program Development,Ministry Brands,5339188
Staffing & Recruiting,HRM Recruit,164231
Professional Training,"Ladies DC, LLC. (LDC)",1395840
Venture Capital,Manhattan Venture Partners,5335853
Political Organization,Pro Prahu,5300036
Computer Games,Miniclip,153972
Electrical & Electronic Manufacturing,OSRAM,222198
Online Publishing,Vocento,25838
Nanotechnology,Nanoskin bvba,5221561
Music,Purgatory,1276619
Logistics & Supply Chain,Crown Relocations,11651
Computer & Network Security,Elastica,3536430
Wireless,"Mobiquity, Inc.",2084011
Security & Investigations,"Coastal International Security, Inc.",3679581
"Health, Wellness & Fitness","WellBiz Brands, Inc.",16544
Media Production,Canal Encuentro,739491
Animation,Erick Animation,5296149
Commercial Real Estate,Bruntwood,88010
Capital Markets,Traynor Consulting Limited,5325711
Think Tanks,EQO - Equal opportunities AB,5339560
Philanthropy,Beautiful Foundation Fund,5344442
E-learning,Knovation,2411260
Import & Export,Kam10,5325082
Mechanical or Industrial Engineering,Instron,15111
Human Resources,Randstad HR Solutions,2325
Business Supplies & Equipment,Image Source,1177345
Graphic Design,Golden Age Innovations LLC,5343372
International Trade & Development,International Development Group LLC,1508604
Luxury Goods & Jewelry,TwoDosJoyas.com,5344568
Renewables & Environment,SMA America,364675
"Glass, Ceramics & Concrete",SATIMAT,5216760
Packaging & Containers,Absolute Packaging,2622020
Industrial Automation,Ashcroft Inc.,72644
Computer Software,S1 Corporation,4151
Internet,Workopolis,21543
Semiconductors,"Entegris, Inc.",163638
Telecommunications,Telkom,4254
Management Consulting,Berenschot,7605
Biotechnology,Facet Biotech,371589
Hospital & Health Care,Parkland Hospital,13285
Pharmaceuticals,Validant,24481
Cosmetics,Beard Balm,5339499
Apparel & Fashion,Salsa,70509
Sporting Goods,Bownet Sports,5327156
Supermarkets,Changshu jiecheng metal product manufacturer,3776999
Consumer Electronics,Dawlance Group of Companies,530276
Consumer Goods,Rockline Industries,37883
Furniture,Pineapple Contracts,5341551
Retail,Sainsbury's,5015
Entertainment,Paramount Pictures,4413
Gambling & Casinos,Media Odds,5289983
Food & Beverages,"Pinkberry Ventures, Inc",342094
Museums & Institutions,The Connection at Meijer Gardens,5279510
Banking,Banco Votorantim,13758
Insurance,Euler Hermes,163708
Financial Services,Absa,4356
Real Estate,Primacy Relocation,165540
Investment Banking/Venture,Curitiba Angels,3749506
Investment Management,Sime Darby Berhad,38185
Building Materials,Secil,65156
Architecture & Planning,"Rosser International, Inc.",33665
Aviation & Aerospace,UTC Aerospace Systems,2669459
Automotive,Copart,15317
Chemicals,Taminco,31625
Machinery,Pearson Packaging Systems,1254572
Mining & Metals,Newmont Mining Corporation,8917
Oil & Energy,HPCL,11668
Shipbuilding,Ship Motion Products,5114363
Utilities,Austin Energy,162583
Textiles,Tollegno1900,5321538
Paper & Forest Products,Youssef Allam Paper,5249076
Railroad Manufacture,France Signalisation,3475320
Farming,Limecor,5307964
Primary/Secondary,Action for Dyslexia,5313603
Higher Education,University of Colorado Boulder,3771
Education Management,Raffles Education Corporation,77311
Research,Politecnico di Torino,165510
Military,CONVERGENCE MINDEF,5335752
Government Administration,SVB Sociale Verzekeringsbank,166023
Executive Office,Davinci Meeting Rooms,5276238
Law Enforcement,Oak Grove Technologies: Law Enforcement and National Security,5134488
Marketing & Advertising,American Marketing Association,16262
