cindustry,cname,cid
Warehousing,Kringloopwinkel De Waarde,5259463
Airlines/Aviation,IndiGo (InterGlobe Aviation Ltd),91609
Maritime,Nautic Global Group,2041265
Information Technology & Services,Polaris Financial Technology Limited,205701
Market Research,Market Force Information,30253
Public Relations,Publicis Consultants,2821
Nonprofit Organization Management,GS1 US,162205
Fundraising,The Geared For Giving Campaign,5344205
Program Development,IMPACT International Marketing,1757300
Staffing & Recruiting,Veredus,13245
Professional Training,karROX Technologies Ltd.,125177
Venture Capital,Dubai International Capital,54860
Political Organization,California Association of Health Plans,1383786
Computer Games,Blue Castle Games,22030
Electrical & Electronic Manufacturing,FLIR Systems,163847
Online Publishing,Tradedoubler,166482
Nanotechnology,Single Quantum,5290043
Music,FeedbackLoop,2915530
Logistics & Supply Chain,Brink’s,281590
Computer & Network Security,Ixia Security Test Solutions,167137
Wireless,"OnMobile Live, Inc.",6175
Security & Investigations,Guardian Protection Services,24092
"Health, Wellness & Fitness",Precor,17107
Media Production,The E.W. Scripps Company,167254
Animation,CandyAndGrim,5341227
Commercial Real Estate,GPT Group,303034
Capital Markets,Tobin Tao & Company,3014533
Think Tanks,The Midmarket Institute,2625765
Philanthropy,Charities Aid Foundation of America,2552263
E-learning,Becta,162678
Import & Export,Medteks Medikal Tekstil ithalat ihracat san ve tic.ltd.şti,5345365
Mechanical or Industrial Engineering,"Elliott Group, Ebara Corp",29683
Human Resources,O.C. Tanner,11540
Business Supplies & Equipment,Ferramentas Gerais Com. Ind. S/A,355019
Graphic Design,BR Graphic Design LLC,1218779
International Trade & Development,Winrock International,19297
Luxury Goods & Jewelry,Estenza,3738897
Renewables & Environment,Wipro EcoEnergy,399495
"Glass, Ceramics & Concrete",IPG Project,5308271
Packaging & Containers,Constar International,28349
Industrial Automation,Emerson Industrial Automation,101201
Computer Software,Blackbaud,162724
Internet,Rakuten Marketing,9866
Semiconductors,Nova Measuring Instruments,11129
Telecommunications,Claro Brasil,4569
Management Consulting,The Highland Group,20839
Biotechnology,Emergent BioSolutions,36024
Hospital & Health Care,Boston Medical Center (BMC),7413
Pharmaceuticals,Janssen-Ortho,1205
"Health, Wellness & Fitness",Facials - Radiance Spa,5349643
Apparel & Fashion,Helly Hansen,14649
Sporting Goods,Bay Area Kitesurf,1766755
Supermarkets,ADHRENA,5125398
Consumer Electronics,Vestel,166795
Consumer Goods,ITC Limited,619019
Furniture,Landscape Brands,379928
Retail,Pantaloon Retail India Ltd,9371
Entertainment,Reel FX,10949
Gambling & Casinos,Kambi Sports Solutions,1416736
Food & Beverages,United Natural Foods,27837
Museums & Institutions,Regionaal Genealogisch Centrum Midden-Nederlanden,5350016
Banking,Zions Bank,6186
Insurance,Birla Sun Life Insurance,11583
Financial Services,ICAP,6256
Real Estate,Boston Properties,162765
Investment Banking/Venture,First Southwest Company,20425
Investment Management,Artisan Partners,23184
Building Materials,DT Group,38870
Architecture & Planning,Foster + Partners,18625
Aviation & Aerospace,Flight Refuelling Ltd,51903
Automotive,IHS Automotive - Driven by Polk,165635
Chemicals,Vertellus Specialties Inc.,569537
Machinery,Xylem Water & Wastewater (Xylem Inc.),497371
Mining & Metals,"Arch Coal, Inc.",40137
Oil & Energy,EP ENERGY,163592
Shipbuilding,HOST Marine Int. Trd. Ltd. Co.,5208723
Utilities,Joulz,214853
Textiles,ScotlandShop.com Tweed Fabirc,5340649
Paper & Forest Products,Expera Specialty Solutions,5316806
Railroad Manufacture,Professional Project Planning,5025022
Farming,Revaho (Netafim),5323670
Primary/Secondary,Ascend Learning Charter Schools,1181086
Higher Education,Virginia Tech,166811
Education Management,IMD business school,164323
Research,Lund University,5077
Military,Leading Points Corporation,2531908
Government Administration,Rijksdienst voor Ondernemend Nederland (RVO.nl),724653
Executive Office,Growth Essentials,5318473
Law Enforcement,Intelligance & Syber Security,5248158
Marketing & Advertising,Affinion Group,6209
Newspapers,Investor's Business Daily,11970
Publishing,CyberMedia,10274
Information Services,The DATA Group of Companies,551899
Environmental Services,Barr Engineering Co.,43844
Package/Freight Delivery,DMM Network,5223275
Civic & Social Organization,Downtown Miami & Brickell Chamber of Commerce,3177953
Consumer Services,James Felton Keith Inc.,5319267
Transportation/Trucking/Railroad,TTC,8686
Warehousing,Mi dieta me mata,5226469
Airlines/Aviation,Aeropuertos Argentina 2000,30608
Maritime,A2SEA A/S,72297
Information Technology & Services,Tata Technologies,6369
Market Research,Ipsos ASI,4323
Public Relations,Chandler Chicco Agency,13523
Nonprofit Organization Management,Ashoka,9450
Fundraising,The Development Committee,5324499
Program Development,TECHService di G.Sassanelli,5346858
Staffing & Recruiting,Paladin Consulting,12158
Professional Training,The Training Associates,27835
Venture Capital,"Blu Venture Investors, LLC",2808902
Political Organization,Progressive Democrats,5337985
Computer Games,Oberon Media,165273
