cindustry,cname,cid
Public Relations,"Formula PR, Inc.",25650
Nonprofit Organization Management,Alzheimer's Association®,10976
Fundraising,HeadCase,2638322
Program Development,EXPAT Management Solutions,2925712
Staffing & Recruiting,Robert Half Management Resources,1684
Professional Training,Huthwaite,18380
Venture Capital,Colony Capital,24039
Political Organization,Dansk Erhverv,11528
Computer Games,Telltale Games,374941
Electrical & Electronic Manufacturing,Bosch Security Systems,2198
Online Publishing,Manta,33086
Nanotechnology,SUNY Polytechnic Institute,5340064
Music,Warner Music Group,4781
Logistics & Supply Chain,Owens & Minor,1629
Computer & Network Security,Trustwave,21523
Wireless,"Xora, A ClickSoftware Company",36885
Security & Investigations,March Networks,13972
"Health, Wellness & Fitness","ValueOptions, Inc.®",8056
Media Production,Freedom Communications Inc.,28916
Animation,MeShows,5188274
Commercial Real Estate,Phillips Edison & Company,47287
Capital Markets,Murphy Business & Financial Corporation,118322
Think Tanks,Peterson Institute for International Economics,1584176
Philanthropy,The Midland School,5134456
E-learning,"Kno, Inc. (Acquired by Intel)",384982
Import & Export,Aditya Impex & Technologies,1110343
Mechanical or Industrial Engineering,NNE Pharmaplan,165202
Information Technology & Services,PRO Unlimited,11219
Business Supplies & Equipment,OfficeMax Grand & Toy,17482
Graphic Design,BigStar,2481928
International Trade & Development,World Trade Organization,13249
Luxury Goods & Jewelry,GIA,14401
Renewables & Environment,Masdar (Abu Dhabi Future Energy Company),227127
"Glass, Ceramics & Concrete",נגב אלומיניום - Negev Aluminium,5347499
Packaging & Containers,Stephen Gould Corporation,39665
Industrial Automation,Markem-Imaje,12654
Computer Software,TIBCO Software Inc.,3420
Internet,LINKdotNET,4154
Semiconductors,CSR,163285
Telecommunications,KPN,1442
Management Consulting,Jefferson Wells,4676
Biotechnology,Healthpoint,17139
Hospital & Health Care,Inova Health System,7515
Pharmaceuticals,Glenmark Pharmaceuticals,16351
Cosmetics,Madlyn Cazalis Group,2613725
Apparel & Fashion,MAS Holdings,18236
Sporting Goods,Oxylane,560666
Supermarkets,Share4Shop,5252843
Consumer Electronics,Kaleidescape,164573
Consumer Goods,ACCO Brands,5703
Furniture,Home24,2653180
Retail,Canadian Tire,162883
Entertainment,OWN: The Oprah Winfrey Network,503152
Gambling & Casinos,American Casino & Entertainment Properties,57691
Food & Beverages,Levy Restaurants,9864
Museums & Institutions,Science Gallery,1267057
Banking,BBVA Compass,269755
Insurance,Fidelity National Financial,3127
Financial Services,Sun Life Financial,4075
Real Estate,Alain Pinel Realtors,7593
Investment Banking/Venture,"Merriman Capital, Inc.",18700
Investment Management,Sanford C. Bernstein,3795
Building Materials,Amanco,32351
Architecture & Planning,MulvannyG2 Architecture,21978
Aviation & Aerospace,Firth Rixson,68601
Automotive,Hyundai Motor India Ltd,36062
Chemicals,W.R. Grace,166979
Machinery,Ritchie Bros. Auctioneers,18317
Mining & Metals,Boart Longyear,16146
Oil & Energy,McDermott International Inc.,7601
Shipbuilding,NPD s.r.l.,5273989
Utilities,CPFL Energia,14566
Textiles,Blend,38566
Paper & Forest Products,"Midland Paper, Packaging + Supplies",59987
Railroad Manufacture,Flat Panel Display Enclosures,5168021
