cindustry,cname,cid
Machinery,Komatsu America Corp.,164623
Mining & Metals,The De Beers Group of Companies,163392
Oil & Energy,Hess Corporation,5458
Shipbuilding,Polo dello Shipping,5340603
Utilities,DTE Energy,163513
Textiles,Kravet,103004
Paper & Forest Products,Hollingsworth & Vose,30335
Railroad Manufacture,Stabirail,5292160
Farming,"Olde Stone Orchard, LLC",1557717
Primary/Secondary,Council Rock School District,37214
Higher Education,Texas A&M University,4556
Education Management,IESE Business School,164299
Research,UMass Medical School,4512
Military,"Professional Solutions, LLC",250091
Government Administration,Gemeente Amsterdam,163954
Executive Office,First Nonprofit Foundation,2753184
Law Enforcement,SAPS,15271
Marketing & Advertising,McCann Worldgroup,1926
Newspapers,GateHouse Media,26939
Publishing,Hachette Filipacchi Media,5765
Information Services,GRM Document Management,30361
Environmental Services,EnergySolutions,24748
Package/Freight Delivery,AIRCOM CARGO LOGISTICS LTD,5339322
Civic & Social Organization,KIT (Royal Tropical Institute),45241
Consumer Services,American Laser Skincare,504216
Transportation/Trucking/Railroad,Penske Truck Leasing,5756
Warehousing,Storage Equipment Experts Limited,5302943
Airlines/Aviation,Jeppesen,164531
Maritime,Kongsberg Maritime,164624
Information Technology & Services,Capgemini,157240
Market Research,Market Probe,23692
Public Relations,CNW Group,21841
Nonprofit Organization Management,Oxfam,6884
Fundraising,Clovest,2659974
Program Development,"Wingrove Global Risk Management, LLC",2942114
Staffing & Recruiting,Advantage Resourcing - Technical Staffing,6061
Professional Training,Richardson,7621
Venture Capital,Austin Ventures,162584
Political Organization,Grassroots Targeting,1540937
Computer Games,Gameshastra,49117
Electrical & Electronic Manufacturing,Teledyne Technologies Incorporated,1001
Online Publishing,Gawker Media,163940
Nanotechnology,NanoDry Tech,5341465
Music,!K7 Records,97966
Logistics & Supply Chain,Panalpina,6413
Computer & Network Security,FishNet Security,9291
Wireless,LitePoint,47148
Security & Investigations,GardaWorld,32924
"Health, Wellness & Fitness",Metagenics,21245
Media Production,"F+W Media, Inc.",15722
Animation,TooonMe,5203089
Commercial Real Estate,Arbor Commercial Mortgage,391896
Capital Markets,Standard Chartered Capital Markets,300192
Think Tanks,1st Help Consultancies,2741903
Philanthropy,Piedmont Charitable Foundation,1757763
E-learning,"InfoPro Learning, Inc",11267
Import & Export,"Global Net Advantage, LLC",1266587
Mechanical or Industrial Engineering,Former Stork B.V.,3985
Human Resources,Gulf Bankers Executive Search,151012
Business Supplies & Equipment,COTG – A Xerox Company,42016
Graphic Design,Architectural Sign Associates,2502486
International Trade & Development,Sojitz Corporation,50319
Luxury Goods & Jewelry,Links of London,47151
Renewables & Environment,DNV GL - Renewables (formerly GL Garrad Hassan),82221
